VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
1a25dhvitd2,"1alpha,25-dihydroxyvitamin D2",MNXM737660,86320,HMDB0006225,SLM:000485673,1a25dhvitd2,ZGLHBRQAEXKACO-XJRQOBMKSA-N,ZGLHBRQAEXKACO
1a25dhvitd3,calcitriol,MNXM1377563,17823,HMDB0001903,SLM:000000475,1a25dhvitd3,GMRQFYUYWCNGIN-NKMMMXOESA-N,GMRQFYUYWCNGIN
1glyc_hs,1 acyl phosphoglycerol,MNXM1546990,,,,1glyc_hs,,
1hibup_S,1-Hydroxyibuprofen,MNXM1375655,177271,HMDB0060565,,1hibup_S,RMOQYHYFRKTDRI-UHFFFAOYSA-N,RMOQYHYFRKTDRI
1hibupglu_S,1-hydroxy S-ibuprofen-glucuronide,MNXM1529722,,,,1hibupglu_S,WFFCBXYGNUWJKK-UHFFFAOYSA-M,WFFCBXYGNUWJKK
1hmdgluc,1'-OH-midazolam-glucuronide,MNXM744407,,HMDB0247486,,1hmdgluc,ICIUMXQTLQXWGL-UHFFFAOYSA-N,ICIUMXQTLQXWGL
1mncam,1-methylnicotinamide,MNXM2172,16797,HMDB0000699,,1mncam,LDHMAVIPBRSVRG-UHFFFAOYSA-O,LDHMAVIPBRSVRG
1mpyr,1-methylpyrrolinium,MNXM1615,27435,HMDB0060253,,1mpyr,FDWZAOGDOVQOLD-UHFFFAOYSA-N,FDWZAOGDOVQOLD
1ohmdz,1-hydroxymidazolam,MNXM152046,145330,HMDB0061089,,1ohmdz,QHSMEGADRFZVNE-UHFFFAOYSA-N,QHSMEGADRFZVNE
1p2cbxl,1-pyrroline-2-carboxylate,MNXM957,39785,HMDB0006875,,1p2cbxl,RHTAIKJZSXNELN-UHFFFAOYSA-N,RHTAIKJZSXNELN
1p3h5c,"(3S,5R)-1-pyrroline-3-hydroxy-5-carboxylic acid",MNXM31144,37005,,,1p3h5c,WFOFKRKDDKGRIK-IUYQGCFVSA-N,WFOFKRKDDKGRIK
1pipdn2c,Delta(1)-piperideine-2-carboxylate,MNXM911,77631,HMDB0001084,,1pipdn2c,GEJXSVNGWOSZPC-UHFFFAOYSA-N,GEJXSVNGWOSZPC
1pyr5c,(S)-1-pyrroline-5-carboxylate,MNXM1365214,17388,HMDB0001301,,1pyr5c,DWAKNKKXGALPNW-BYPYZUCNSA-M,DWAKNKKXGALPNW
