VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
CE2879,"3,5,3'-triiodo-L-thyronine-beta-D-glucuronoside",MNXM166093,,,,CE2879,YYFGGGCINNGOLE-UKJVJLCYSA-M,YYFGGGCINNGOLE
CE2880,"3,3'-diiodo-L-thyronine-beta-D-glucuronoside",MNXM166076,,,,CE2880,ADIQFGLSNXTCEF-QDVJOMROSA-M,ADIQFGLSNXTCEF
CE2881,"3,3',5,5'-tetraiodothyroacetic acid",MNXM9147,131194,HMDB0258867,,CE2881,PPJYSSNKSXAVDB-UHFFFAOYSA-N,PPJYSSNKSXAVDB
CE2882,"3,3',5'-triiodothyroacetate",MNXM166074,,,,CE2882,XLWNVHQIKWRWOE-UHFFFAOYSA-M,XLWNVHQIKWRWOE
CE2883,tiratricol,MNXM731200,40021,,,CE2883,UOWZUVNAGUAEQC-UHFFFAOYSA-N,UOWZUVNAGUAEQC
CE2884,"3',5'-diiodothyroacetate",MNXM166036,,,,CE2884,KOTHYHWAVXIZEJ-UHFFFAOYSA-M,KOTHYHWAVXIZEJ
CE2885,"3,5,3',5'-tetraiodothyroacetate-beta-D-glucuronoside",MNXM166092,,,,CE2885,GYORPZQLVMNOGY-MPSGWSHVSA-L,GYORPZQLVMNOGY
CE2886,"3,3',5'-triiodothyroacetate-beta-D-glucuronoside",MNXM166075,,,,CE2886,QSWZGMIVPNEVJK-RHMUGHDZSA-L,QSWZGMIVPNEVJK
CE2887,"3,5,3'-triiodothyroacetate-beta-D-glucuronoside",MNXM166095,,,,CE2887,VXVBZMWOWMHXTQ-RHMUGHDZSA-L,VXVBZMWOWMHXTQ
CE2888,"3',5'-diiodothyroacetate-beta-D-glucuronoside",MNXM166037,,,,CE2888,YOWDQHXNBULHCD-RHMUGHDZSA-L,YOWDQHXNBULHCD
CE2890,Dynorphin A (6-8),MNXM51735,169292,HMDB0012932,,CE2890,BHSYMWWMVRPCPA-FVCCEPFGSA-N,BHSYMWWMVRPCPA
CE2891,dynorphin B,MNXM1529812,,,,CE2891,AGTSSZRZBSNTGQ-ITZCFHCWSA-Q,AGTSSZRZBSNTGQ
CE2915,Casomorphin,MNXM729547,172843,HMDB0059787,,CE2915,ADBHAJDGVKLXHK-UHFFFAOYSA-N,ADBHAJDGVKLXHK
CE2916,neocasomorphin,MNXM1529813,,,,CE2916,OFSHRWCWYJBWJP-UHFFFAOYSA-M,OFSHRWCWYJBWJP
CE2917,Apelin-13,MNXM1105086,,HMDB0012894,,CE2917,XXCCRHIAIBQDPX-YHQCEEEXSA-Q,XXCCRHIAIBQDPX
CE2934,o-methylhippuric acid,MNXM35291,68455,HMDB0011723,,CE2934,YOEBAVRJHRCKRE-UHFFFAOYSA-N,YOEBAVRJHRCKRE
CE2947,Xanthurenate-8-O-beta-D-glucoside,MNXM1104908,179661,HMDB0013118,,CE2947,MYFHOUJDPFBJLH-XGJKELJWSA-N,MYFHOUJDPFBJLH
CE2949,xanthurenate,MNXM5989,71201,HMDB0000881,,C02470,FBZONXHGGPHHIY-UHFFFAOYSA-M,FBZONXHGGPHHIY
CE2953,"Rac-5,6-epoxy-retinoate",MNXM726412,,,,CE2953,KEEHJLBAOLGBJZ-UHFFFAOYSA-M,KEEHJLBAOLGBJZ
CE2954,all-trans-4-oxoretinoate,MNXM6902,134186,HMDB0006285,,CE2954,GGCUJPCCTQNTJF-FRCNGJHJSA-M,GGCUJPCCTQNTJF
CE2955,"all-trans-3,4-didehydroretinoate",MNXM40794,132260,HMDB0060092,,CE2955,SYESMXTWOAQFET-YCNIQYBTSA-M,SYESMXTWOAQFET
CE2956,all-trans-4-hydroxyretinoate,MNXM1107685,134178,HMDB0006254,SLM:000597726,CE2956,KGUMXGDKXYTTEY-FRCNGJHJSA-M,KGUMXGDKXYTTEY
CE2957,all-trans-18-hydroxyretinoate,MNXM10629,139258,HMDB0012452,SLM:000598061,CE2957,XSJOIRFEYHJNAW-FCKHSPHMSA-M,XSJOIRFEYHJNAW
CE2958,"rac-5,6-epoxy-retinoyl-beta-D-glucuronide",MNXM1529814,,,,CE2958,BZPOQLONXBJGAZ-UHFFFAOYSA-M,BZPOQLONXBJGAZ
CE2960,Rac-4-Hydroxy-4-O-(Beta-D-Glucuronide)-All-Trans-Retinoate,MNXM1547198,,,,CE2960,,
CE2961,4-hydroxy-all-trans-retinyl acetate,MNXM729389,,,,CE2961,ULTPFVHSYYJYAE-UHFFFAOYSA-N,ULTPFVHSYYJYAE
CE2962,rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinyl acetate,MNXM1529815,,,,CE2962,LFXATGINAILLFU-UHFFFAOYSA-M,LFXATGINAILLFU
CE2963,"Rac-5,6-epoxy-retinoate",MNXM726412,,,,CE2953,KEEHJLBAOLGBJZ-UHFFFAOYSA-M,KEEHJLBAOLGBJZ
CE2964,"5,8-epoxy-13-cis-retinoate",MNXM726413,,,,CE2964,QDOSIDVGVRAXSE-UHFFFAOYSA-M,QDOSIDVGVRAXSE
CE3038,"3beta,7alpha-dihydroxy-5-cholestenoate",MNXM1529816,,,,CE3038,GYJSAWZGYQXRBS-BWEFPQMWSA-M,GYJSAWZGYQXRBS
CE3074,Fructose-3-Phosphate,MNXM1547199,,,,CE3074,,
CE3075,D-glucitol 3-phosphate,MNXM1103523,21092,HMDB0062530,,CE3075,RSCVCIHYYQHRMQ-JGWLITMVSA-N,RSCVCIHYYQHRMQ
CE3086,4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid O-glucoside,MNXM166294,186038,HMDB0062374,,CE3086,XEXCWFKGYJFAQK-LMXXTMHSSA-N,XEXCWFKGYJFAQK
CE3087,beta-carboline,MNXM43781,109895,HMDB0012897,,CE3087,AIFRHYZBTHREPW-UHFFFAOYSA-N,AIFRHYZBTHREPW
CE3092,Glutathionyl-3-hydroxykynurenine glucoside,MNXM739849,,,,CE3092,NAUBCUCILMZALD-AAICTPQNSA-M,NAUBCUCILMZALD
CE3136,"9-cis-4-oxo-13,14-dihydro-retinoate",MNXM166718,,,,CE3136,XMIWQNUYRMSNDU-INKCALMPSA-M,XMIWQNUYRMSNDU
CE3140,"1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate",MNXM32416,169367,HMDB0012492,,CE3140,LCHFAYIGHOVWSA-UHFFFAOYSA-N,LCHFAYIGHOVWSA
CE3481,"2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphate",MNXM734173,78209,,SLM:000043242,CE3481,BDCFJMBXZCIVRH-NZRYSPDRSA-L,BDCFJMBXZCIVRH
CE3554,20-trihydroxy-leukotriene-B4,MNXM734723,,HMDB0012643,,CE3554,UZWWTCBNUQJEPB-WLMOLUCVSA-M,UZWWTCBNUQJEPB
CE4633,hypochlorous acid,MNXM733724,24757,HMDB0001050,,CE4633,QWPPOHNGKGFGJK-UHFFFAOYSA-N,QWPPOHNGKGFGJK
CE4722,beta-casomorphin (1-6),MNXM1529817,,,,CE4722,WUHXJZCLFYNVBB-UHFFFAOYSA-M,WUHXJZCLFYNVBB
CE4723,neocasomorphin (1-5),MNXM1529818,,,,CE4723,WRNQQFNBEUKAAX-UHFFFAOYSA-M,WRNQQFNBEUKAAX
CE4724,apelin (1-12),MNXM1529819,,,,CE4724,QZNKGTRFBWGADN-YTUSPVEZSA-Q,QZNKGTRFBWGADN
CE4753,Dynorphin B (10-13),MNXM51740,169592,HMDB0012936,,CE4753,VSLCIGXQLCYQTD-NPJQDHAYSA-N,VSLCIGXQLCYQTD
CE4754,D-Arginyl-L-arginyl-D-glutaminyl-L-phenylalanine,MNXM1103555,177679,HMDB0012937,,CE4754,YTMBNLHIDIKJIU-HCXYKTFWSA-N,YTMBNLHIDIKJIU
CE4788,3-acetamidopropanal,MNXM771,30322,HMDB0012880,,CE4788,ARJPPNFIEQKVBB-UHFFFAOYSA-N,ARJPPNFIEQKVBB
CE4790,(3S)-3-Hydroxy-Cis-8-Tetradecenoyl Coenzyme A,MNXM744488,,,,CE4790,ZQDIAQJHDIPXDI-WCLGBGKHSA-J,ZQDIAQJHDIPXDI
CE4791,"3-Icosa-8,11,14-trienoyl-CoA",MNXM1524486,,HMDB0301360,,CE4791,GFVFSXUAKLZOGC-UHFFFAOYSA-N,GFVFSXUAKLZOGC
CE4792,3-oxo-cis-8-tetradecenoyl-CoA,MNXM1529820,,,,CE4792,DMKQQTVHIVHGIT-HILDAAPZSA-J,DMKQQTVHIVHGIT
CE4793,"(8Z,11Z,14Z)-3-oxoeicosatrienoyl-CoA",MNXM166236,71481,,SLM:000000490,CE4793,DJFXNRBQUUFIOS-DDQUOPDJSA-J,DJFXNRBQUUFIOS
CE4794,cis-6-dodecenoyl-CoA,MNXM1529821,,,,CE4794,ZVMJJHXBJQTLEB-HLOFGFMRSA-J,ZVMJJHXBJQTLEB
CE4795,"2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA",MNXM1529822,,,,CE4795,VEOYVBZJFWTPAJ-BQXQQPSMSA-J,VEOYVBZJFWTPAJ
CE4796,3-oxo-(2S)-methylisocapryloyl-CoA,MNXM1529823,,,,CE4796,RVEAGMLBRLLBNX-UNYFRMJFSA-J,RVEAGMLBRLLBNX
CE4797,"(2R,6)-dimethylheptanoyl-CoA",MNXM34616,86982,,SLM:000485687,CE4797,GPXWBKWDXPBLKS-NHZRKUKBSA-J,GPXWBKWDXPBLKS
CE4798,"(2S,6)-dimethylheptanoyl-CoA",MNXM163033,86983,,SLM:000485688,CE4798,GPXWBKWDXPBLKS-WDMCVEARSA-J,GPXWBKWDXPBLKS
CE4799,"2,6-dimethyl-trans-2-heptenoyl-CoA",MNXM744495,,,,CE4799,BQVMKMLUXZLYFD-RGVSVJNMSA-J,BQVMKMLUXZLYFD
CE4800,"3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA",MNXM744496,,,,CE4800,YAVFKXHHHJEEQF-QHRXOHRWSA-J,YAVFKXHHHJEEQF
CE4801,"3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA",MNXM1529824,,,,CE4801,AGRBRZWAKOHMRQ-HSXICROASA-J,AGRBRZWAKOHMRQ
CE4802,3(S)-hydroxy-4-methyl-pentanoyl-CoA,MNXM1529825,,,,CE4802,FVDISPKCRAHPBJ-UJKBHUOUSA-J,FVDISPKCRAHPBJ
CE4803,"3-oxo-4(R),8-dimethyl-nonanoyl-CoA",MNXM1529826,,,,CE4803,YMYLLQAUKBJHAS-MEVWRHIBSA-J,YMYLLQAUKBJHAS
CE4804,3-oxo-4-methyl-pentanoyl-CoA,MNXM1529827,,,,CE4804,NVBSRDSMDMDKDD-HYBMCFJWSA-J,NVBSRDSMDMDKDD
CE4805,"4(R),8-dimethyl-nonanoyl-CoA",MNXM1529828,,,,CE4805,YGNKJFPEXQCWDB-QQAAJXJASA-J,YGNKJFPEXQCWDB
CE4806,"4(R),8-dimethyl-trans-2-nonenoyl-CoA",MNXM744499,,,,CE4806,ZVFQTLFMFGJTNP-UYYMDPIVSA-J,ZVFQTLFMFGJTNP
CE4807,4-methyl-trans-2-pentenoyl-CoA,MNXM1529829,,,,CE4807,GJLUGLKKLPHWPU-ODAOSLEQSA-J,GJLUGLKKLPHWPU
CE4808,4-methyl-pentanoyl-CoA,MNXM1529830,,,,CE4808,GESPQCUXDWNNGU-HYBMCFJWSA-J,GESPQCUXDWNNGU
CE4810,"3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA",MNXM1529831,,,,CE4810,PCGPHLMAAZKQFQ-UHFFFAOYSA-J,PCGPHLMAAZKQFQ
CE4811,"(8Z,11Z,14Z,17Z)-3-oxoicosatetraenoyl-CoA",MNXM164249,71491,HMDB0062354,SLM:000000495,CE4811,VVLBCJHQULSXJN-QWOXCLFSSA-J,VVLBCJHQULSXJN
CE4812,"eicosa-2E,8Z,11Z,14Z,17Z-pentaenoyl-CoA",MNXM1529832,,,,CE4812,PTROMSLVPFEIQJ-UHFFFAOYSA-J,PTROMSLVPFEIQJ
CE4816,"(2E,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA",MNXM1102106,76464,HMDB0060218,SLM:000389638,CE4816,MMZJVINJFSRJOK-CYNJBPNESA-J,MMZJVINJFSRJOK
CE4817,"3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA",MNXM1529833,,,,CE4817,KIDYDCLNVXONEF-UHFFFAOYSA-J,KIDYDCLNVXONEF
CE4818,"3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA",MNXM1529834,,,,CE4818,DRQAURCKCKDINZ-UHFFFAOYSA-J,DRQAURCKCKDINZ
CE4819,"(7Z,10Z,13Z,16Z,19Z)-3-oxodocosapentaenoyl-CoA",MNXM730960,73863,HMDB0304149,SLM:000000733,CE4819,SLYKKQSPRFJDAF-HVGANWHPSA-J,SLYKKQSPRFJDAF
CE4820,"3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA",MNXM1529835,,,,CE4820,UQPANOGFYCZRAV-UHFFFAOYSA-J,UQPANOGFYCZRAV
CE4821,"(2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",MNXM730934,76461,,SLM:000389636,CE4821,HGVXUTAEZALTIG-HKHRKLHHSA-J,HGVXUTAEZALTIG
CE4824,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA",MNXM1104016,74083,,SLM:000389166,CE4824,BNAMTMVBOVNNSH-AFQBPCMKSA-J,BNAMTMVBOVNNSH
CE4825,"(3S)-hydroxy-tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA",MNXM1529836,,,,CE4825,JJCGUWRDULVWQG-OTAKGWFFSA-J,JJCGUWRDULVWQG
CE4826,"3-oxo-(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA",MNXM91783,74304,HMDB0060313,SLM:000000765,CE4826,DNHDPAXPQGYGIJ-KWFBMMABSA-J,DNHDPAXPQGYGIJ
CE4827,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",MNXM1104405,74298,HMDB0060198,SLM:000000764,CE4827,MENFZXMQSYYVRK-CRCGJGBYSA-J,MENFZXMQSYYVRK
CE4828,"(2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA",MNXM739454,76360,,,CE4828,NVOWZIBKQIWTDG-ADUCOSNASA-J,NVOWZIBKQIWTDG
CE4830,"(2E,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA",MNXM145987,76418,,SLM:000389615,CE4830,AVRCOFDAWHWKMB-MNTHWFIHSA-J,AVRCOFDAWHWKMB
CE4831,"(7E,10E,13E,16E)-3-Hydroxydocosa-7,10,13,16-tetraenoyl-CoA",MNXM1524505,,HMDB0301380,,CE4831,JHXLRLHTJYMVBK-UHFFFAOYSA-N,JHXLRLHTJYMVBK
CE4832,"3(S)-Hydroxy-Tetracosa-6,9,12,15,18-All-Cis-Pentaenoyl Coenzyme A",MNXM744502,,,,CE4832,NNEPPYNERZEJEE-UPRGOYRGSA-J,NNEPPYNERZEJEE
CE4833,"(7Z,10Z,13Z,16Z)-3-oxodocosatetraenoyl-CoA",MNXM31378,73852,,SLM:000000729,CE4833,VMAJWSSWCPBIJY-KPOVBLHLSA-J,VMAJWSSWCPBIJY
CE4834,"(9Z,12Z,15Z,18Z)-3-oxotetracosatetraenoyl-CoA",MNXM1102116,73857,HMDB0060229,SLM:000000731,CE4834,WSALICWLARPULC-GJYKHRJNSA-J,WSALICWLARPULC
CE4835,"(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",MNXM1103977,76416,,SLM:000389613,CE4835,XSIBQUOFLNIVEK-XPBIURITSA-J,XSIBQUOFLNIVEK
CE4837,"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA",MNXM1104014,74087,,SLM:000389165,CE4837,OKOXEYTYHDPTEW-GJYKHRJNSA-J,OKOXEYTYHDPTEW
CE4838,"(2E,6Z,9Z,12Z,15Z,18Z)-tetracosahexaenoyl-CoA",MNXM1103767,76364,HMDB0060219,,CE4838,UYOKHWFEUAJFMG-UIYHDVLFSA-J,UYOKHWFEUAJFMG
CE4840,"(3R)-hydroxy-(11Z,14Z)-eicosadienoyl-CoA",MNXM145826,76408,,SLM:000389608,CE4840,MNTSLNSVZACNCX-JPDDAYGWSA-J,MNTSLNSVZACNCX
CE4841,"(11Z,14Z)-3-oxoicosa-11,14-dienoyl-CoA",MNXM145819,74012,,SLM:000000736,CE4841,PUWDUOCPCWFEFG-YGYQDCEASA-J,PUWDUOCPCWFEFG
CE4842,"(2E,11Z,14Z)-eicosatrienoyl-CoA",MNXM145821,76409,,SLM:000389609,CE4842,JLHULLPFTGLIGF-DBYUABGNSA-J,JLHULLPFTGLIGF
CE4843,"(11Z,14Z)-eicosadienoyl-CoA",MNXM1378447,76410,,SLM:000389161,CE4843,YCKYOUVXZZJCIU-YGYQDCEASA-J,YCKYOUVXZZJCIU
CE4844,"3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA",MNXM1529837,,,,CE4844,SHYOGNDOVWXSLL-UHFFFAOYSA-J,SHYOGNDOVWXSLL
CE4845,"3-oxo-(10Z,13Z,16Z)-docosatrienoyl-CoA",MNXM1102112,74426,HMDB0060211,SLM:000389186,CE4845,GPKHWNMCLWDFOL-VCMLSESPSA-J,GPKHWNMCLWDFOL
CE4846,"trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA",MNXM1529838,,,,CE4846,KFIUKMFBVDDVDZ-UHFFFAOYSA-J,KFIUKMFBVDDVDZ
CE4847,"(10Z,13Z,16Z)-docosatrienoyl-CoA",MNXM149266,74423,,SLM:000389164,CE4847,NRFSUEZXHDEQRO-VCMLSESPSA-J,NRFSUEZXHDEQRO
CE4848,"3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA",MNXM1529839,,,,CE4848,DALQBBQTVPOKDP-UHFFFAOYSA-J,DALQBBQTVPOKDP
CE4849,"3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",MNXM1529840,,,,CE4849,VYZWWTGHKBYTPF-UHFFFAOYSA-J,VYZWWTGHKBYTPF
CE4850,"3-oxo-(10Z,13Z,16Z,19Z)-docosatetraenoyl-CoA",MNXM146932,74334,,SLM:000000779,CE4850,MUBUSEARPWRSQN-BUSXXEPMSA-J,MUBUSEARPWRSQN
CE4851,"3-oxo-(12Z,15Z,18Z,21Z)-tetracosatetraenoyl-CoA",MNXM1102114,74427,HMDB0060226,SLM:000000783,CE4851,HPMVBGKWFWCZAY-LEAJHPDKSA-J,HPMVBGKWFWCZAY
CE4852,"trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA",MNXM1529841,,,,CE4852,YGPXPVHOFOFFGA-UHFFFAOYSA-J,YGPXPVHOFOFFGA
CE4853,"trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA",MNXM1529842,,,,CE4853,PJWUUOREXKKLME-UHFFFAOYSA-J,PJWUUOREXKKLME
CE4854,"all-cis-10,13,16,19-docosatetraenoyl-CoA",MNXM1529843,,,,CE4854,BEEQBBPNTYBGDP-UHFFFAOYSA-J,BEEQBBPNTYBGDP
CE4855,"all-cis-12,15,18,21-tetracosatetraenoyl-CoA",MNXM1529844,,,,CE4855,LLJDAYKOCIXVML-UHFFFAOYSA-J,LLJDAYKOCIXVML
CE4872,"(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al",MNXM1378279,48940,HMDB0003533,SLM:000000430,CE4872,USFJGINJGUIFSY-IUFSEJPUSA-N,USFJGINJGUIFSY
CE4874,"5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol",MNXM1529845,,,,CE4874,ISDIRLRPWGRAHM-IEUIPJGFSA-N,ISDIRLRPWGRAHM
CE4876,Delta12-Prostaglandin J2,MNXM1379781,,,,CE4876,TUXFWOHFPFBNEJ-IRXDYDNUSA-M,TUXFWOHFPFBNEJ
CE4877,"15-deoxy-Delta(12,14)-prostaglandin J2",MNXM33413,85236,HMDB0005079,SLM:000399850,CE4877,VHRUMKCAEVRUBK-GODQJPCRSA-M,VHRUMKCAEVRUBK
CE4881,Nitryl chloride,MNXM162976,,,,CE4881,NXRVFVBNLWGOCL-UHFFFAOYSA-N,NXRVFVBNLWGOCL
CE4888,"5,6-dihydroxyindole",MNXM730705,27404,HMDB0004058,,CE4888,SGNZYJXNUURYCH-UHFFFAOYSA-N,SGNZYJXNUURYCH
CE4890,(S)-N-Methylsalsolinol,MNXM31861,88540,HMDB0003892,,CE4890,RKMGOUZXGHZLBJ-ZETCQYMHSA-N,RKMGOUZXGHZLBJ
CE4898,13'-Carboxy-gamma-tocopherol,MNXM33315,168306,HMDB0012557,,CE4898,WPZHQZIUOXUCOK-PXUFRVCMSA-N,WPZHQZIUOXUCOK
CE4922,Noladin-Ether,MNXM1547205,,,,CE4922,,
CE4936,N-Acetyl-leukotriene E4,MNXM739035,,HMDB0005084,,CE4936,BGGYAYMMFYBWEX-KDFQUNDDSA-N,BGGYAYMMFYBWEX
CE4968,N-isovalerylglycine,MNXM58397,70984,HMDB0000678,,CE4968,ZRQXMKMBBMNNQC-UHFFFAOYSA-N,ZRQXMKMBBMNNQC
CE4969,N-isobutyrylglycine,MNXM57844,70979,HMDB0000730,,CE4969,DCICDMMXFIELDF-UHFFFAOYSA-N,DCICDMMXFIELDF
CE4970,N-(2-methylbutanoyl)glycine,MNXM35282,86366,HMDB0000339,,CE4970,HOACIBQKYRHBOW-UHFFFAOYSA-N,HOACIBQKYRHBOW
CE4980,Prostaglandin PGE2 glyceryl ester,MNXM1529846,,,,CE4980,HJWDPZIOTMUWRW-UHHVUHAVSA-N,HJWDPZIOTMUWRW
CE4987,"10,11-dihydro-leukotriene B4",MNXM734227,,HMDB0012504,,CE4987,NKUPFHTVILUPKF-RNEQFKNCSA-M,NKUPFHTVILUPKF
CE4988,"10,11-dihydro-12-epi-leukotriene B4",MNXM1529847,,,,CE4988,NKUPFHTVILUPKF-XKVMTLFDSA-M,NKUPFHTVILUPKF
CE4989,"20-OH-10,11-dihydro-leukotriene B4",MNXM163164,,,,CE4989,XDXPWMISTPZJGX-XMIRPJDESA-M,XDXPWMISTPZJGX
CE4990,12-oxo-leukotriene B4,MNXM6635,133309,HMDB0004234,SLM:000597640,CE4990,SJVWVCVZWMJXOK-NOJHDUNKSA-M,SJVWVCVZWMJXOK
CE4993,"10,11-dihydro-12R-hydroxy-leukotriene C4",MNXM1529848,,,,CE4993,GULYHEJDDHEDJT-VXNWHIMESA-L,GULYHEJDDHEDJT
CE5013,"14-hydroxy-4,14-retro-retinol",MNXM165537,,,,CE5013,PCRZONNRANOQPA-WBWVJYLOSA-N,PCRZONNRANOQPA
CE5014,Anhydrovitamin A,MNXM42129,177589,HMDB0062447,,CE5014,FWNRILWHNGFAIN-OYUWDNMLSA-N,FWNRILWHNGFAIN
CE5016,"13,14-dihydroxy-retinol",MNXM165531,,,,CE5016,IPJVXOBBCWHWMP-RLGMBWBISA-N,IPJVXOBBCWHWMP
CE5021,Alpha-tocopheryl hydroquinone,MNXM166990,,,,CE5021,JOURHZSBLWSODQ-UQIPPQJZSA-N,JOURHZSBLWSODQ
CE5022,Alpha-tocopheryl quinone,MNXM119057,,HMDB0034408,,CE5022,LTVDFSLWFKLJDQ-UHFFFAOYSA-N,LTVDFSLWFKLJDQ
CE5025,5-S-glutathionyl-dopamine,MNXM164351,,,,CE5025,YTAAHCYRCMYQCJ-QWRGUYRKSA-N,YTAAHCYRCMYQCJ
CE5026,5-S-glutathionyl-L-DOPA,MNXM730975,,,,CE5026,QPUCCRKMCAEIND-JRUYECLLSA-M,QPUCCRKMCAEIND
CE5049,methylene group,MNXM61861,50728,,,CE5049,,
CE5068,2-Methylglutaconic acid,MNXM165975,165425,HMDB0002266,,CE5068,JKGHDBJDBRBRNA-DUXPYHPUSA-N,JKGHDBJDBRBRNA
CE5072,5-alpha-THDOC,MNXM730973,34461,HMDB0000879,,CE5072,CYKYBWRSLLXBOW-GDYGHMJCSA-N,CYKYBWRSLLXBOW
CE5082,N-acetyl-L-cystathionine,MNXM168463,,,,CE5082,QWACVTVBTRSCRL-RNFRBKRXSA-M,QWACVTVBTRSCRL
CE5101,1-phosphatidyl-1D-myo-inositol 5-phosphate(3-),MNXM1529849,,,,CE5101,UETSPQBWBGEESU-AQTYMDLDSA-K,UETSPQBWBGEESU
CE5114,"(2E,8Z,11Z,14Z)-eicosatetraenoyl-CoA",MNXM165187,76412,,SLM:000389611,CE5114,WQDZFNIBNFNRLF-XBLGNFGOSA-J,WQDZFNIBNFNRLF
CE5115,"(3E,5Z,8Z,11Z,14Z)-eicosapentaenoyl-CoA",MNXM149417,85090,,SLM:000501428,CE5115,PHIGJHMEMQBUMA-MHBLKGGESA-J,PHIGJHMEMQBUMA
CE5116,"trans-3-cis-8,11,14-eicosatetraenoyl-CoA",MNXM1529850,,,,CE5116,WQDZFNIBNFNRLF-UHFFFAOYSA-J,WQDZFNIBNFNRLF
CE5117,"(3E,5Z,8Z)-tetradecatrienoyl-CoA",MNXM1529851,,,,CE5117,FXHAQFYRGXSRHS-VZIATHHHSA-J,FXHAQFYRGXSRHS
CE5118,"trans-2-cis,cis-4,8-tetradecatrienoyl-CoA",MNXM1529852,,,,CE5118,UNKYOAASBNXUKG-XSFLLNPTSA-J,UNKYOAASBNXUKG
CE5119,trans-3-cis-8-tetradecadienoyl-CoA,MNXM1529853,,,,CE5119,IHYQVHHPNVFYHJ-ADYFAOKZSA-J,IHYQVHHPNVFYHJ
CE5120,trans-2-cis-8-tetradecadienoyl-CoA,MNXM1529854,,,,CE5120,SLIJUARARQEXRE-FBBQIBSYSA-J,SLIJUARARQEXRE
CE5122,Phytanoyl-CoA,MNXM741388,,HMDB0001359,,CE5122,NRJQGHHZMSOUEN-IYJVDCLDSA-N,NRJQGHHZMSOUEN
CE5123,2-Hydroxyphytanoyl-CoA,MNXM1104772,15475,HMDB0001295,SLM:000389932,CE5123,WNVFJMYPVBOLKV-KUUVZDDLSA-N,WNVFJMYPVBOLKV
CE5125,(2S)-pristanoyl-CoA,MNXM733833,77099,,SLM:000389469,CE5125,XYJPSQPVCBNZHT-DHBXAFLLSA-J,XYJPSQPVCBNZHT
CE5126,(2R)-pristanoyl-CoA,MNXM734781,77275,,SLM:000389468,CE5126,XYJPSQPVCBNZHT-RNTOLYROSA-J,XYJPSQPVCBNZHT
CE5133,"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestan-27-Al",MNXM1529855,,,,CE5133,MZWYIFQIBJLCBI-UHFFFAOYSA-N,MZWYIFQIBJLCBI
CE5138,12-oxo-20-hydroxy-leukotriene B4,MNXM734273,,HMDB0012552,,CE5138,CZWPUWRHQBAXJS-PABROBRYSA-M,CZWPUWRHQBAXJS
CE5139,12-oxo-20-dihydroxy-leukotriene B4,MNXM33277,175707,HMDB0012551,,CE5139,SBSLZLBZGOASJL-NZXMSVEXSA-N,SBSLZLBZGOASJL
CE5140,12-Oxo-20-trihydroxy-leukotriene B4,MNXM33279,172614,HMDB0012553,,CE5140,QVZXILIWUPKGPA-CWJNPFRJSA-N,QVZXILIWUPKGPA
CE5141,"12,20-dioxoleukotriene B4(1-)",MNXM150182,133436,HMDB0060094,,CE5141,CPTWPKCLDUXOKW-RBQYXHKQSA-M,CPTWPKCLDUXOKW
