HCPname,IEMbaseNosology
HCP_11,
HCP_12,IEM0082; IEM0057; IEM0056; IEM0058; IEM0059; IEM0060; IEM0061; IEM0062; IEM0063; IEM0096; IEM0091; IEM0092; IEM0093; IEM0094; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0114; IEM0123; IEM0134; IEM0129; IEM0135; IEM0126; IEM0165; IEM0064; IEM0119; IEM0090; IEM0095; IEM0125; IEM0117
HCP_13,IEM0082; IEM0322; IEM0357; IEM0359; IEM0844; IEM0082; IEM0083; IEM0085; IEM0087; IEM0088; IEM0084; IEM0086; IEM0057; IEM0056; IEM0058; IEM0059; IEM0060; IEM0061; IEM0062; IEM0063; IEM0096; IEM0091; IEM0092; IEM0093; IEM0094; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0114; IEM0123; IEM0134; IEM0129; IEM0322; IEM0324; IEM0323; IEM0325; IEM0326; IEM0135; IEM0126; IEM0653; IEM0165; IEM1227; IEM0869; IEM0064; IEM0119; IEM0090; IEM0095; IEM1133; IEM0125; IEM0117; IEM1082; IEM1381; IEM1383; IEM1384; IEM1385; IEM1386; IEM1387; IEM1388; IEM1389; IEM1390; IEM1391; IEM1392; IEM1393; IEM1394; IEM1395; IEM1396; IEM1523; IEM1662
HCP_14,IEM0834;; IEM0082; IEM0627; IEM0057; IEM0056; IEM0058; IEM0059; IEM0060; IEM0061; IEM0062; IEM0063; IEM0096; IEM0091; IEM0092; IEM0093; IEM0094; IEM0097; IEM0099; IEM0100; IEM0102; IEM0103; IEM0105; IEM0217; IEM0216; IEM0130; IEM0108; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0205; IEM0206; IEM0207; IEM0208; IEM0209; IEM0218; IEM0219; IEM0215; IEM0213; IEM0211; IEM0210; IEM0227; IEM0228; IEM0107; IEM0114; IEM0123; IEM0134; IEM0106; IEM0129; IEM0636; IEM0628; IEM0630; IEM0629; IEM0634; IEM1247; IEM0633; IEM0632; IEM0635; IEM0238; IEM0240; IEM0713; IEM0715; IEM0717; IEM0714; IEM0716; IEM0718; IEM0728; IEM0322; IEM0324; IEM0323; IEM0325; IEM0326; IEM0370; IEM0355; IEM0357; IEM0358; IEM0359; IEM0360; IEM0361; IEM0352; IEM0354; IEM0353; IEM0729; IEM0720; IEM0135; IEM0126; IEM0212; IEM0101; IEM0364; IEM0366; IEM0653; IEM0165; IEM0164; IEM0163; IEM0162; IEM0132; IEM0064; IEM1109; IEM0112; IEM0119; IEM1167; IEM1165; IEM0090; IEM0095; IEM0104; IEM0136; IEM0220; IEM0365; IEM0368; IEM0369; IEM0567; IEM0631; IEM0719; IEM0730; IEM0732; IEM0733; IEM1108; IEM1111; IEM1116; IEM1117; IEM1124; IEM1133; IEM1135; IEM1166; IEM1168; IEM0109; IEM0110; IEM0125; IEM0239; IEM0362; IEM0363; IEM0721; IEM0637; IEM0098; IEM0117; IEM0133; IEM1260; IEM1082; IEM1256; IEM1125; IEM0214; IEM1248; IEM1523; IEM1524; IEM1525; IEM1671
HCP_15,IEM0057; IEM0056; IEM0058; IEM0059; IEM0060; IEM0061; IEM0062; IEM0063; IEM0097; IEM0099; IEM0100; IEM0102; IEM0103; IEM0105; IEM0217; IEM0216; IEM0108; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0205; IEM0206; IEM0207; IEM0208; IEM0209; IEM0218; IEM0219; IEM0215; IEM0213; IEM0211; IEM0210; IEM0107; IEM0114; IEM0123; IEM0134; IEM0106; IEM0129; IEM0135; IEM0126; IEM0212; IEM0101; IEM0165; IEM0064; IEM1109; IEM0112; IEM0119; IEM0104; IEM0220; IEM1108; IEM0109; IEM0110; IEM0125; IEM0098; IEM0117; IEM1260; IEM1256; IEM1125; IEM0214; IEM1248
HCP_16,IEM0134; IEM0124; IEM1109; IEM0102; IEM0108; IEM0109; IEM0134; IEM0634; IEM0227; IEM0096;; IEM0082; IEM0096; IEM0091; IEM0092; IEM0093; IEM0094; IEM0216; IEM0108; IEM0205; IEM0206; IEM0207; IEM0208; IEM0209; IEM0218; IEM0219; IEM0215; IEM0213; IEM0211; IEM0210; IEM0107; IEM0212; IEM1109; IEM0112; IEM0090; IEM0095; IEM0220; IEM0109; IEM0110; IEM1256; IEM1125; IEM0214
HCP_17,IEM0389; IEM0821; IEM0121; IEM0131; IEM0250; IEM0493; IEM0497; IEM0498; IEM0496; IEM0458; IEM0389; IEM0390; IEM0391; IEM0111; IEM0392; IEM0393; IEM0858; IEM0859; IEM0860; IEM0861; IEM0862; IEM0863; IEM0864; IEM0835; IEM0866; IEM0867; IEM0868; IEM0618; IEM0619; IEM0620; IEM0626; IEM0624; IEM1509; IEM0854; IEM0853; IEM0850; IEM0851; IEM0852; IEM0848; IEM0884; IEM0885; IEM0883; IEM0888; IEM0865; IEM0837; IEM0836; IEM0838; IEM0832; IEM0839; IEM0841; IEM0847; IEM0840; IEM0842; IEM0833; IEM0844; IEM0845; IEM0834; IEM0843; IEM0689; IEM0820; IEM0821; IEM0824; IEM0822; IEM0823; IEM0825; IEM0826; IEM0827; IEM0849; IEM1501; IEM1502; IEM1503; IEM0548; IEM1498; IEM0535; IEM0491; IEM0476; IEM0445; IEM0610; IEM0511; IEM0514; IEM0555; IEM0447; IEM0522; IEM0622; IEM0828; IEM0829; IEM0830; IEM0831; IEM0252; IEM0486; IEM0608; IEM0251; IEM0457; IEM0437; IEM0438; IEM0439; IEM0440; IEM0441; IEM0442; IEM0443; IEM0446; IEM0413; IEM0414; IEM0415; IEM0416; IEM0417; IEM0420; IEM0421; IEM0418; IEM0419; IEM0422; IEM0423; IEM1149; IEM0424; IEM0425; IEM1140; IEM0426; IEM1141; IEM0427; IEM1142; IEM0429; IEM0430; IEM0431; IEM0432; IEM0433; IEM0434; IEM0435; IEM0436; IEM0459; IEM1144; IEM0461; IEM0456; IEM1143; IEM1146; IEM1147; IEM0469; IEM1088; IEM0470; IEM1148; IEM0471; IEM0472; IEM0473; IEM0474; IEM0475; IEM0465; IEM0466; IEM0467; IEM0468; IEM1145; IEM0462; IEM0463; IEM0464; IEM1151; IEM0481; IEM0483; IEM0484; IEM0485; IEM0487; IEM0488; IEM0489; IEM0490; IEM0031; IEM0394; IEM0395; IEM0428; IEM0444; IEM0449; IEM0450; IEM0451; IEM0452; IEM0453; IEM0455; IEM0477; IEM0478; IEM0479; IEM0480; IEM0482; IEM0492; IEM0494; IEM0495; IEM0499; IEM0500; IEM0501; IEM0503; IEM0504; IEM0505; IEM0506; IEM0507; IEM0508; IEM0509; IEM0510; IEM0512; IEM0513; IEM0523; IEM0530; IEM0531; IEM0532; IEM0533; IEM0534; IEM0536; IEM0537; IEM0538; IEM0539; IEM0540; IEM0541; IEM0542; IEM0543; IEM0544; IEM0545; IEM0546; IEM0547; IEM0549; IEM0550; IEM0551; IEM0552; IEM0553; IEM0554; IEM0556; IEM0557; IEM0558; IEM0559; IEM0560; IEM0561; IEM0562; IEM0563; IEM0565; IEM0566; IEM0571; IEM0589; IEM0609; IEM0612; IEM0613; IEM0616; IEM0621; IEM0623; IEM0625; IEM0886; IEM0887; IEM1126; IEM1150; IEM1152; IEM1153; IEM1154; IEM1158; IEM0569; IEM1162; IEM1163; IEM1164; IEM1159; IEM0570; IEM0448; IEM0454; IEM0564; IEM1034; IEM0846; IEM1056; IEM1060; IEM1073; IEM1076; IEM1077; IEM1078; IEM1210; IEM1215; IEM1217; IEM1216; IEM1218; IEM1219; IEM1257; IEM1285; IEM1263; IEM1280; IEM1281; IEM1282; IEM1283; IEM1284; IEM1286; IEM1287; IEM1288; IEM1289; IEM1290; IEM1291; IEM1292; IEM1293; IEM1294; IEM1295; IEM1296; IEM1297; IEM1298; IEM1299; IEM1300; IEM1301; IEM1302; IEM1303; IEM1304; IEM1305; IEM1306; IEM1307; IEM1308; IEM1309; IEM1310; IEM1311; IEM1312; IEM1313; IEM1314; IEM1315; IEM1316; IEM1317; IEM1318; IEM1319; IEM1320; IEM1321; IEM1483; IEM1514; IEM1526; IEM1528; IEM1529; IEM1530; IEM1531; IEM1532; IEM1533; IEM1534; IEM1535; IEM1536; IEM1537; IEM1544; IEM1558; IEM1560; IEM1654; IEM1664; IEM1667; IEM1668; IEM1678; IEM1903; IEM1904; IEM1905; IEM1908; IEM1915; IEM1919; IEM1921; IEM1929; IEM1930; IEM1935; IEM1938; IEM1939; IEM1950; IEM1957; IEM1961; IEM1962; IEM1986; IEM2001; IEM2007; IEM2014; IEM2019; IEM2020; IEM2025; IEM2027
HCP_18,IEM0493; IEM0497; IEM0498; IEM0496; IEM0458; IEM1501; IEM1502; IEM0548; IEM1498; IEM0535; IEM0491; IEM0476; IEM0445; IEM0447; IEM0522; IEM0486; IEM0457; IEM0437; IEM0438; IEM0439; IEM0440; IEM0441; IEM0442; IEM0443; IEM0446; IEM0413; IEM0414; IEM0415; IEM0416; IEM0417; IEM0420; IEM0421; IEM0418; IEM0419; IEM0422; IEM0423; IEM1149; IEM0424; IEM0425; IEM1140; IEM0426; IEM1141; IEM0427; IEM1142; IEM0429; IEM0459; IEM1144; IEM0461; IEM0456; IEM1143; IEM1146; IEM1147; IEM0469; IEM1088; IEM0470; IEM1148; IEM0471; IEM0472; IEM0473; IEM0474; IEM0475; IEM0465; IEM0466; IEM0467; IEM0468; IEM1145; IEM1151; IEM0481; IEM0483; IEM0488; IEM0490; IEM0031; IEM0428; IEM0444; IEM0449; IEM0450; IEM0451; IEM0452; IEM0453; IEM0455; IEM0477; IEM0478; IEM0479; IEM0480; IEM0482; IEM0492; IEM0494; IEM0495; IEM0499; IEM0500; IEM0501; IEM0523; IEM0530; IEM0531; IEM0532; IEM0533; IEM0534; IEM0536; IEM0537; IEM0538; IEM0539; IEM0540; IEM0541; IEM0542; IEM0543; IEM0544; IEM0545; IEM0546; IEM0547; IEM0549; IEM0550; IEM0551; IEM0612; IEM1150; IEM1152; IEM0448; IEM0454; IEM1034; IEM1056; IEM1073; IEM1076; IEM1077; IEM1210; IEM1215; IEM1217; IEM1216; IEM1218; IEM1219; IEM1483; IEM1514; IEM1528; IEM1529; IEM1530; IEM1531; IEM1532; IEM1533; IEM1654; IEM1668; IEM1929; IEM1938; IEM1939; IEM1950; IEM1957; IEM1961; IEM1986; IEM2001; IEM2014
HCP_19,IEM0213; IEM0127; IEM0634; IEM0636; IEM0637; IEM0124; IEM0125;; IEM0216; IEM0113; IEM0116; IEM0118; IEM0583; IEM0578; IEM0115; IEM0121; IEM0120; IEM1110; IEM0124; IEM0127; IEM0205; IEM0206; IEM0207; IEM0208; IEM0209; IEM0218; IEM0219; IEM0215; IEM0213; IEM0211; IEM0210; IEM0114; IEM0123; IEM0493; IEM0497; IEM0498; IEM0496; IEM0134; IEM0129; IEM0636; IEM0458; IEM0634; IEM1247; IEM0633; IEM0632; IEM0635; IEM0238; IEM0240; IEM0618; IEM0619; IEM0620; IEM0626; IEM0624; IEM1509; IEM0572; IEM1501; IEM1502; IEM1503; IEM0548; IEM1498; IEM0535; IEM0491; IEM0577; IEM0476; IEM0201; IEM0525; IEM0519; IEM0445; IEM0527; IEM0528; IEM0520; IEM0610; IEM0529; IEM0511; IEM0514; IEM0555; IEM0447; IEM0407; IEM0191; IEM0586; IEM0522; IEM0370; IEM0355; IEM0357; IEM0358; IEM0359; IEM0360; IEM0361; IEM0352; IEM0354; IEM0353; IEM0408; IEM0166; IEM0622; IEM0135; IEM0126; IEM0212; IEM0364; IEM0366; IEM0582; IEM0486; IEM0608; IEM0410; IEM0588; IEM0119; IEM0457; IEM0437; IEM0438; IEM0439; IEM0440; IEM0441; IEM0442; IEM0443; IEM0446; IEM0413; IEM0414; IEM0415; IEM0416; IEM0417; IEM0420; IEM0421; IEM0418; IEM0419; IEM0422; IEM0423; IEM1149; IEM0424; IEM0425; IEM1140; IEM0426; IEM1141; IEM0427; IEM1142; IEM0429; IEM0430; IEM0431; IEM0432; IEM0433; IEM0434; IEM0435; IEM0436; IEM0459; IEM1144; IEM0461; IEM0456; IEM1143; IEM1146; IEM1147; IEM0469; IEM1088; IEM0470; IEM1148; IEM0471; IEM0472; IEM0473; IEM0474; IEM0475; IEM0465; IEM0466; IEM0467; IEM0468; IEM1145; IEM0462; IEM0463; IEM0464; IEM1151; IEM0481; IEM0483; IEM0484; IEM0485; IEM0487; IEM0488; IEM0489; IEM0490; IEM0031; IEM0192; IEM0193; IEM0194; IEM0195; IEM0196; IEM0220; IEM0365; IEM0368; IEM0369; IEM0406; IEM0409; IEM0411; IEM0412; IEM0428; IEM0444; IEM0449; IEM0450; IEM0451; IEM0452; IEM0453; IEM0455; IEM0477; IEM0478; IEM0479; IEM0480; IEM0482; IEM0492; IEM0494; IEM0495; IEM0499; IEM0500; IEM0501; IEM0502; IEM0503; IEM0504; IEM0505; IEM0506; IEM0507; IEM0508; IEM0509; IEM0510; IEM0512; IEM0513; IEM0516; IEM0517; IEM0521; IEM0523; IEM0524; IEM0526; IEM0530; IEM0531; IEM0532; IEM0533; IEM0534; IEM0536; IEM0537; IEM0538; IEM0539; IEM0540; IEM0541; IEM0542; IEM0543; IEM0544; IEM0545; IEM0546; IEM0547; IEM0549; IEM0550; IEM0551; IEM0552; IEM0553; IEM0554; IEM0556; IEM0557; IEM0558; IEM0559; IEM0560; IEM0561; IEM0562; IEM0563; IEM0565; IEM0566; IEM0571; IEM0573; IEM0574; IEM0575; IEM0576; IEM0579; IEM0580; IEM0581; IEM0584; IEM0585; IEM0589; IEM0590; IEM0591; IEM0593; IEM0594; IEM0595; IEM0596; IEM0597; IEM0598; IEM0599; IEM0600; IEM0601; IEM0602; IEM0603; IEM0604; IEM0605; IEM0606; IEM0609; IEM0611; IEM0612; IEM0613; IEM0614; IEM0615; IEM0616; IEM0621; IEM0623; IEM0625; IEM1121; IEM1122; IEM1123; IEM1135; IEM1138; IEM1139; IEM1150; IEM1152; IEM1153; IEM1154; IEM1155; IEM1156; IEM1157; IEM1158; IEM0569; IEM1160; IEM1161; IEM0607; IEM1162; IEM1163; IEM1164; IEM1168; IEM0518; IEM1159; IEM0570; IEM0592; IEM1375; IEM0198; IEM0199; IEM0200; IEM0202; IEM0203; IEM0204; IEM1189; IEM0125; IEM0239; IEM0362; IEM0363; IEM0448; IEM0454; IEM0197; IEM0564; IEM0637; IEM0117; IEM1034; IEM1056; IEM1073; IEM1076; IEM1077; IEM1078; IEM1079; IEM1080; IEM1081; IEM1208; IEM1209; IEM1210; IEM1211; IEM1215; IEM1217; IEM1216; IEM1218; IEM1219; IEM1220; IEM1221; IEM1222; IEM1256; IEM1125; IEM1091; IEM0214; IEM1257; IEM1098; IEM1262; IEM1263; IEM1311; IEM1376; IEM1377; IEM1378; IEM1379; IEM1380; IEM1483; IEM1514; IEM1524; IEM1525; IEM1528; IEM1529; IEM1530; IEM1531; IEM1532; IEM1533; IEM1534; IEM1535; IEM1536; IEM1537; IEM1538; IEM1539; IEM1540; IEM1541; IEM1542; IEM1543; IEM1544; IEM1654; IEM1664; IEM1667; IEM1668; IEM1678; IEM1905; IEM1912; IEM1928; IEM1929; IEM1935; IEM1938; IEM1939; IEM1941; IEM1950; IEM1957; IEM1961; IEM1986; IEM1992; IEM2001; IEM2007; IEM2011; IEM2014; IEM2015; IEM2017; IEM2019; IEM2020; IEM2025; IEM2026; IEM2027; IEM2031; IEM2032; IEM2033
HCP_20,IEM0082; IEM0844; IEM0633; IEM0322; IEM0227; IEM0832; IEM0627; IEM0356; IEM0058; IEM0134; IEM0858; IEM0634; IEM0753; IEM0870; IEM0102; IEM0859; IEM0113; IEM0096; IEM0860; IEM0326; IEM0908; IEM0127; IEM0094; IEM0361; IEM0124; IEM0629; IEM0370; IEM0060; IEM0357; IEM0834; IEM0213; IEM0108; IEM0841; IEM0059; IEM0389; IEM0228; IEM0048; IEM0240; IEM0355; IEM0070; IEM0371; IEM0223; IEM0044; IEM0728; IEM0782; IEM0045; IEM0146; IEM0218; IEM0085; IEM0219; IEM0333; IEM0862; IEM0217; IEM0740; IEM0865; IEM0836;IEM0165; IEM0017; IEM0874; IEM0837; IEM0125; IEM0109; IEM0122; IEM0110; IEM0118; IEM0084; IEM0076; IEM0643; IEM0080; IEM0642; IEM0111; IEM0372; IEM0216; IEM0583; IEM0486; IEM0730; IEM0652; IEM0105; IEM0083; IEM0077; IEM0086; IEM0510; IEM0918; IEM0340; IEM0327; IEM0757; IEM0064; IEM0720; IEM1415; IEM0373; IEM0661; IEM0645; IEM0128; IEM0993; IEM0752; IEM0232; IEM0081; IEM0472;; IEM0082; IEM0083; IEM0085; IEM0087; IEM0088; IEM0084; IEM0086; IEM0057; IEM0056; IEM0058; IEM0059; IEM0060; IEM0061; IEM0062; IEM0063; IEM0096; IEM0091; IEM0092; IEM0093; IEM0094; IEM0216; IEM0152; IEM0153; IEM0130; IEM0226; IEM0108; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0221; IEM0222; IEM0223; IEM0225; IEM0205; IEM0206; IEM0207; IEM0208; IEM0209; IEM0218; IEM0219; IEM0215; IEM0213; IEM0211; IEM0210; IEM0107; IEM0114; IEM0123; IEM0134; IEM0129; IEM0636; IEM0740; IEM0753; IEM0749; IEM0747; IEM0752; IEM0751; IEM0745; IEM0634; IEM1247; IEM0633; IEM0632; IEM0635; IEM0238; IEM0240; IEM0835; IEM0865; IEM0837; IEM0836; IEM0838; IEM0832; IEM0839; IEM0841; IEM0847; IEM0840; IEM0842; IEM0833; IEM0844; IEM0845; IEM0834; IEM0843; IEM0746; IEM1203; IEM0908; IEM0909; IEM0921; IEM0918; IEM0920; IEM0922; IEM0915; IEM0910; IEM0914; IEM0919; IEM0917; IEM0931; IEM0927; IEM0923; IEM1194; IEM1017; IEM1013; IEM1018; IEM0950; IEM0951; IEM0947; IEM0963; IEM0933; IEM0934; IEM0935; IEM0969; IEM0970; IEM0916; IEM0925; IEM0953; IEM1015; IEM1016; IEM1021; IEM1020; IEM0555; IEM0370; IEM0355; IEM0357; IEM0358; IEM0359; IEM0360; IEM0361; IEM0352; IEM0354; IEM0353; IEM0750; IEM0748; IEM0188; IEM0135; IEM0126; IEM0212; IEM0224; IEM0364; IEM0366; IEM0165; IEM1035; IEM0640; IEM0911; IEM0913; IEM1192; IEM0924; IEM1193; IEM0926; IEM0930; IEM1199; IEM1014; IEM0812; IEM0164; IEM0967; IEM0928; IEM1022; IEM0945; IEM0946; IEM0942; IEM0939; IEM0940; IEM0941; IEM0163; IEM0162; IEM0132; IEM0064; IEM1109; IEM0112; IEM0119; IEM0742; IEM0743; IEM0744; IEM0090; IEM0095; IEM0136; IEM0155; IEM0156; IEM0157; IEM0158; IEM0159; IEM0160; IEM0187; IEM0189; IEM0190; IEM0220; IEM0365; IEM0368; IEM0369; IEM0552; IEM0553; IEM0554; IEM0556; IEM0557; IEM0558; IEM0559; IEM0560; IEM0561; IEM0562; IEM0563; IEM0565; IEM0566; IEM0638; IEM0676; IEM0677; IEM0678; IEM0679; IEM0680; IEM0681; IEM0682; IEM0811; IEM0813; IEM0814; IEM0815; IEM0816; IEM0817; IEM0818; IEM0819; IEM0929; IEM0932; IEM0936; IEM0937; IEM0938; IEM0943; IEM0944; IEM0948; IEM0949; IEM0952; IEM0954; IEM0956; IEM0964; IEM0965; IEM0966; IEM0968; IEM1019; IEM1111; IEM1112; IEM1113; IEM1116; IEM1117; IEM1135; IEM1158; IEM0569; IEM1168; IEM1175; IEM1176; IEM1178; IEM1181; IEM1185; IEM1190; IEM1159; IEM0570; IEM0955; IEM1177; IEM0109; IEM0110; IEM0125; IEM0239; IEM0362; IEM0363; IEM0564; IEM0637; IEM0117; IEM0133; IEM0846; IEM1033; IEM1036; IEM1041; IEM1042; IEM1057; IEM1062; IEM1066; IEM1068; IEM1078; IEM1231; IEM1232; IEM1233; IEM1234; IEM1235; IEM1236; IEM1239; IEM1241; IEM1242; IEM1244; IEM1256; IEM1125; IEM0912; IEM1085; IEM0214; IEM1285; IEM1259; IEM1100; IEM1101; IEM1225; IEM1099; IEM1230; IEM1229; IEM1228; IEM1238; IEM1237; IEM1240; IEM1243; IEM1102; IEM1254; IEM1255; IEM1280; IEM1281; IEM1282; IEM1283; IEM1284; IEM1286; IEM1287; IEM1288; IEM1289; IEM1290; IEM1291; IEM1292; IEM1293; IEM1294; IEM1295; IEM1296; IEM1297; IEM1298; IEM1299; IEM1300; IEM1301; IEM1302; IEM1303; IEM1304; IEM1305; IEM1306; IEM1307; IEM1308; IEM1309; IEM1310; IEM1311; IEM1312; IEM1313; IEM1314; IEM1315; IEM1316; IEM1317; IEM1318; IEM1319; IEM1320; IEM1321; IEM1373; IEM1403; IEM1404; IEM1405; IEM1406; IEM1407; IEM1408; IEM1409; IEM1410; IEM1411; IEM1412; IEM1413; IEM1414; IEM1415; IEM1416; IEM1417; IEM1418; IEM1419; IEM1420; IEM1421; IEM1422; IEM1423; IEM1424; IEM1425; IEM1430; IEM1431; IEM1432; IEM1433; IEM1434; IEM1435; IEM1436; IEM1437; IEM1438; IEM1439; IEM1441; IEM1484; IEM1516; IEM1517; IEM1518; IEM1524; IEM1525; IEM1537; IEM1546; IEM1548; IEM1549; IEM1558; IEM1656; IEM1657; IEM1674; IEM1675; IEM1676; IEM1677; IEM1737; IEM1899; IEM1900; IEM1903; IEM1904; IEM1915; IEM1916; IEM1917; IEM1918; IEM1919; IEM1922; IEM1930; IEM1933; IEM1943; IEM1945; IEM1948; IEM1949; IEM1951; IEM1958; IEM1964; IEM1967; IEM1968; IEM1969; IEM1970; IEM1971; IEM1972; IEM1973; IEM1974; IEM1975; IEM1976; IEM1977; IEM1978; IEM1979; IEM1982; IEM1983; IEM1984; IEM1985; IEM1997; IEM2030
HCP_21,IEM0082; IEM0091; IEM0355; IEM0357; IEM0359; IEM0360; IEM0361; IEM0362; IEM0364; IEM0352; IEM0354; IEM0380; IEM0387; IEM0366; IEM0358; IEM0353; IEM0384; IEM0381; IEM0385; IEM0383; IEM0633; IEM1003; IEM0096;; IEM0627; IEM0122; IEM0642; IEM0641; IEM0636; IEM0372; IEM0628; IEM0630; IEM0629; IEM0634; IEM1247; IEM0633; IEM0632; IEM0635; IEM0238; IEM0240; IEM0874; IEM0643; IEM1169; IEM0321; IEM0314; IEM0316; IEM0317; IEM0371; IEM0370; IEM0355; IEM0357; IEM0358; IEM0359; IEM0360; IEM0361; IEM0352; IEM0354; IEM0353; IEM0652; IEM0364; IEM0366; IEM0645; IEM0644; IEM0315; IEM0318; IEM0319; IEM1167; IEM1165; IEM0320; IEM0365; IEM0368; IEM0369; IEM0373; IEM0631; IEM1131; IEM1135; IEM1136; IEM1166; IEM1168; IEM0239; IEM0362; IEM0363; IEM0637; IEM1524; IEM1525; IEM1923; IEM1946
HCP_22,IEM0124; IEM0125;; IEM0627; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0114; IEM0123; IEM0134; IEM0129; IEM0636; IEM0628; IEM0630; IEM0629; IEM0634; IEM1247; IEM0633; IEM0632; IEM0635; IEM0238; IEM0240; IEM0135; IEM0126; IEM0119; IEM1167; IEM1165; IEM0631; IEM1166; IEM1168; IEM0125; IEM0239; IEM0637; IEM0117; IEM1525
HCP_23,IEM0322; IEM0324; IEM0323; IEM0325; IEM0326; IEM1105; IEM0013; IEM0017; IEM0008; IEM0007; IEM0015; IEM0016; IEM0003; IEM0004; IEM0002; IEM0148; IEM0150; IEM0001;; IEM0057; IEM0056; IEM0058; IEM0059; IEM0060; IEM0061; IEM0062; IEM0063; IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0114; IEM0123; IEM0009; IEM1105; IEM0013; IEM0010; IEM0017; IEM0018; IEM0008; IEM0015; IEM0022; IEM0134; IEM0129; IEM0835; IEM0865; IEM0837; IEM0836; IEM0838; IEM0832; IEM0839; IEM0841; IEM0847; IEM0840; IEM0842; IEM0833; IEM0844; IEM0845; IEM0834; IEM0843; IEM0007; IEM0021; IEM0016; IEM0548; IEM1498; IEM0535; IEM0522; IEM0322; IEM0324; IEM0323; IEM0325; IEM0326; IEM0135; IEM0126; IEM0653; IEM0165; IEM0064; IEM0119; IEM0430; IEM0431; IEM0432; IEM0433; IEM0434; IEM0435; IEM0436; IEM0462; IEM0463; IEM0464; IEM0484; IEM0485; IEM0487; IEM0011; IEM0012; IEM0014; IEM0019; IEM0020; IEM0024; IEM0025; IEM0523; IEM0530; IEM0531; IEM0532; IEM0533; IEM0534; IEM0536; IEM0537; IEM0538; IEM0539; IEM0540; IEM0541; IEM0542; IEM0543; IEM0544; IEM0545; IEM0546; IEM0547; IEM0549; IEM0550; IEM0551; IEM1133; IEM1106; IEM0125; IEM0117; IEM0846; IEM1082; IEM0023; IEM1273; IEM1274; IEM1275; IEM1276; IEM1277; IEM1523; IEM1558
HCP_24,IEM0113; IEM0116; IEM0118; IEM0115; IEM0120; IEM1110; IEM0124; IEM0127; IEM0795; IEM0787; IEM0794; IEM0786; IEM0790; IEM0789; IEM0792; IEM0791; IEM0788; IEM0114; IEM0123; IEM0134; IEM0129; IEM0908; IEM0909; IEM0921; IEM0918; IEM0920; IEM0922; IEM0915; IEM0910; IEM0914; IEM0919; IEM0917; IEM0931; IEM0927; IEM0923; IEM0993; IEM0995; IEM0998; IEM1194; IEM0999; IEM1008; IEM1011; IEM0994; IEM1024; IEM0950; IEM0951; IEM0947; IEM0963; IEM1012; IEM0933; IEM0934; IEM0935; IEM0969; IEM0970; IEM0987; IEM0916; IEM0925; IEM0953; IEM0997; IEM0322; IEM0324; IEM0323; IEM0325; IEM0326; IEM0135; IEM0126; IEM0653; IEM1001; IEM1030; IEM1006; IEM1007; IEM1003; IEM1004; IEM0991; IEM1093; IEM0996; IEM0911; IEM0913; IEM1192; IEM0924; IEM1193; IEM0926; IEM0930; IEM1009; IEM1031; IEM0967; IEM0928; IEM1029; IEM1027; IEM1025; IEM1026; IEM0945; IEM0946; IEM0942; IEM0939; IEM0940; IEM0941; IEM0119; IEM0796; IEM0797; IEM0929; IEM0932; IEM0936; IEM0937; IEM0938; IEM0943; IEM0944; IEM0948; IEM0949; IEM0952; IEM0954; IEM0956; IEM0964; IEM0965; IEM0966; IEM0968; IEM0988; IEM0989; IEM0990; IEM1002; IEM1010; IEM1028; IEM1032; IEM1133; IEM0955; IEM0125; IEM0117; IEM0793; IEM1000; IEM1041; IEM1042; IEM1063; IEM1068; IEM1212; IEM1082; IEM0912; IEM1255; IEM1373; IEM1374; IEM1516; IEM1523; IEM1548; IEM1549; IEM1555; IEM1670; IEM1737; IEM1914; IEM1933; IEM1948; IEM1967; IEM1968; IEM1969; IEM1970; IEM1971; IEM1976; IEM1977; IEM1978; IEM1979; IEM1980; IEM1981; IEM1982; IEM1983
